index_code,index_name,index_level,upper_index,index_weight
sg,国家治理,0,,
eco,经济,1,sg,0.2
soc,社会,1,sg,0.25
env,生态,1,sg,0.15
cul,文化,1,sg,0.15
pol,政治,1,sg,0.15
pub,官民互动,1,sg,0.1
eco_mac,宏观环境,2,eco,0.15
eco_ind,产业发展,2,eco,0.2
eco_res,资源节约,2,eco,0.1
eco_inc,居民收入,2,eco,0.15
eco_deb,地方债务,2,eco,0.15
eco_inv,外商投资,2,eco,0.1
eco_sci,科研产出,2,eco,0.1
eco_emo,民众情绪,2,eco,0.05
soc_pop,人口,2,soc,0.1
soc_edu,教育,2,soc,0.2
soc_med,医疗,2,soc,0.2
soc_tfc,交通,2,soc,0.1
soc_age,养老,2,soc,0.1
soc_ift,基础建设,2,soc,0.15
soc_stb,社会稳定,2,soc,0.15
env_adm,环境治理,2,env,0.35
env_sol,固废处理情况,2,env,0.2
env_wat,水环境,2,env,0.2
env_air,大气环境,2,env,0.2
env_eco,生态基础,2,env,0.05
cul_obj,客观指数,2,cul,0.6
cul_sub,主观指数,2,cul,0.4
pol_obj,客观指数,2,pol,0.6
pol_sub,主观指数,2,pol,0.4
