index_code,index_name,upper_type,index_level,method
mong,国家治理现代化,,3,common
politics,政治民主化,体系,1,common
law,社会法治化,体系,1,common
economics,经济市场化,体系,1,sp
culture,文化多样化,体系,1,common
env,生态制度化,体系,1,common
party,党建科学化,体系,1,common
resource_get,资源提取能力,能力,1,common
law_put,法律实施能力,能力,1,common
supervise_put,监管能力,能力,1,common
scientific_decide,科学决策能力,能力,1,common
crisis_respond,危机应对能力,能力,1,common
politics_renew,政治革新能力,能力,1,common
system_build,制度构建能力,能力,1,common
accept_put,接纳参与能力,能力,1,common
politics_integrate,政治整合能力,能力,1,common
elite_get,精英录用能力,能力,1,sp
strategy_plan,战略规划能力,能力,1,common
fair_protect,公平保障能力,能力,1,sp
politics_communicate,政治沟通能力,能力,1,common
